通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
氧益源智能颈椎按摩仪 k33 氧益源智能颈椎按摩仪 k33    1台/盒,氧益源智能颈椎按摩仪 k33 ,1台/盒,1  盒  ,GB4706.1-2005;GB4706.10-2008 ,珠海市康葆圣电子有限公司 ,佛山健多多医疗器械有限公司,有
健之佳针筒式喂药器 健之佳针筒式喂药器    一个,健之佳针筒式喂药器 ,一个,1  盒  ,5454 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳奶嘴式喂药器 健之佳奶嘴式喂药器    一个,健之佳奶嘴式喂药器 ,一个,1  包  ,5454 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 双头纸棒卫生棉签(婴儿棉签) 健之佳 双头纸棒卫生棉签(婴儿棉签)    64支/盒,健之佳 双头纸棒卫生棉签(婴儿棉签) ,64支/盒,1  盒  ,消字(2012)第1103号 ,稳健实业(深圳)有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 母乳储存袋 健之佳 母乳储存袋    210ml 28枚,健之佳 母乳储存袋 ,210ml 28枚,1  盒  ,GB983-1988 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 双头卫生棉签(圆筒) 健之佳 双头卫生棉签(圆筒)    100支,健之佳 双头卫生棉签(圆筒) ,100支,1  包  ,鲁卫消证字(2013)第0616号 ,青岛盛久医疗用品有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 电动吸奶器 健之佳 电动吸奶器    一个,健之佳 电动吸奶器 ,一个,1  盒  ,7878787 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳多用吸奶器 健之佳多用吸奶器    一盒,健之佳多用吸奶器 ,一盒,1  盒  ,JZJ29072 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 抽拉式吸奶器 健之佳 抽拉式吸奶器    1个/盒,健之佳 抽拉式吸奶器 ,1个/盒,1  盒  ,Q/0285JZJ 005-2016 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
喂药护理组 婴幼儿 喂药护理组 婴幼儿    一个,喂药护理组 婴幼儿 ,一个,1  盒  ,5454 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 抽拉式吸奶器 健之佳 抽拉式吸奶器    1个/盒,健之佳 抽拉式吸奶器 ,1个/盒,1  盒  ,Q/0285JZJ 005-2016 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
五赫兹牌卫生湿巾成人护理型 五赫兹牌卫生湿巾成人护理型    80片/包,五赫兹牌卫生湿巾成人护理型 ,80片/包,1  包  ,闽卫消证字（2016）第0008号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
消毒液老人护理型无味 消毒液老人护理型无味    200ml/瓶,消毒液老人护理型无味 ,200ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
消毒液居住环境专用型玫瑰味 消毒液居住环境专用型玫瑰味    250ml/瓶,消毒液居住环境专用型玫瑰味 ,250ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液母婴携带型无味 5赫兹牌消毒液母婴携带型无味    250ml/瓶,5赫兹牌消毒液母婴携带型无味 ,250ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
 东方带轮助行器 FS912L    1张/盒, ,1张/盒,1  盒  ,GB/T14728.1-2006 ,佛山市东方医疗设备厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A04 S码     1条/盒, ,1条/盒,1  盒  ,YXB/冀 衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A02型 M码    1条/盒, ,1条/盒,1  盒  ,YXB/冀 衡0006-2015 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A02型 XL码    1条/盒, ,1条/盒,1  盒  ,YXB/冀 衡0006-2016 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 佛山东方AUFU拐杖FS932四脚    1支/盒, ,1支/盒,1  盒  ,GB/T 19545.4-2008 ,佛山东方医疗设备厂有限公司 ,佛山健多多医疗器械有限公司,有
 千江大肚子瘦身贴    5片/盒, ,5片/盒,1  盒  ,Q/23HDHF11-2015 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
 西门子助听器带线风笛DMP     1台/盒, ,1台/盒,1  盒  ,YZB/ALW 0523-2012 ,西万拓听力技术(苏州)有限公司 ,佛山健多多医疗器械有限公司,有
 敷尔佳医用面膜透明质酸钠修复贴    5贴/盒, ,5贴/盒,200  盒  ,黑食药监生产许20160030号 ,哈尔滨三联药业股份有限公司 ,佛山健多多医疗器械有限公司,有
养润濞疾康抑菌喷剂 养润濞疾康抑菌喷剂    20ml,养润濞疾康抑菌喷剂 ,20ml,1  支  ,陕西卫消证字（2014）第0187号 ,陕西健驰生物药业有限公司 ,惠州市利佳康园医药科技有限公司,有
蜜炼西瓜爽清润糖 蜜炼西瓜爽清润糖    36克,蜜炼西瓜爽清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
蜜炼罗汉果清润糖 蜜炼罗汉果清润糖    36克,蜜炼罗汉果清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市信合惠通实业有限公司,有
蜜炼西瓜爽清润糖 蜜炼西瓜爽清润糖    36克,蜜炼西瓜爽清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市信合惠通实业有限公司,有
蜜炼金银花清润糖 蜜炼金银花清润糖    36克,蜜炼金银花清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市信合惠通实业有限公司,有
I泰恩康 一次性使用医用口罩 I泰恩康 一次性使用医用口罩    8个/包,I泰恩康 一次性使用医用口罩 ,8个/包,1  包  ,粤械注准20162640663 ,汕头市泰恩康医用器材厂有限公司 ,惠州市信合惠通实业有限公司,有
I诺丝温莎玫瑰花香 I诺丝温莎玫瑰花香    12个装,I诺丝温莎玫瑰花香 ,12个装,1  盒  ,计生用品 ,广东诺丝科技股份有限公司 ,中山市胜美保健食品有限公司,有
帮德007天然胶乳橡胶避孕套（热感梦幻） 帮德007天然胶乳橡胶避孕套（热感梦幻）    10只,帮德007天然胶乳橡胶避孕套（热感梦幻） ,10只,1  盒  ,计生用品 ,湛江市汇通药业有限公司 ,中山市胜美保健食品有限公司,有
皮肤救星抑菌乳膏 皮肤救星抑菌乳膏    15g,皮肤救星抑菌乳膏 ,15g,1  盒  ,赣卫消证字（2011）第0007号 ,江西灵水生物科技有限公司 ,东莞市仁韩参茸有限公司,有
保妇康凝胶 保妇康凝胶    5g*5支,保妇康凝胶 ,5g*5支,1  盒  ,赣卫消证字（2012）第0025号 ,江西药圣堂实业有限公司 ,重庆赛力君安医药有限公司,有
I海氏海诺 无菌敷贴 I海氏海诺 无菌敷贴    10*20CM,I海氏海诺 无菌敷贴 ,10*20CM,800  盒  ,鲁械注准20142640041 ,青岛市海诺生物工程有限公司 ,岳阳康尔医药有限公司,无
H小羚羊 小儿退热贴 H小羚羊 小儿退热贴    2片*2袋,H小羚羊 小儿退热贴 ,2片*2袋,50  盒  ,豫信械备20140002号 ,河南羚锐制药股份有限公司 ,中山市胜美保健食品有限公司,有
杜蕾斯天然胶乳橡胶避孕套（情迷装） 杜蕾斯天然胶乳橡胶避孕套（情迷装）    3只 .,杜蕾斯天然胶乳橡胶避孕套（情迷装） ,3只 .,480  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
杜蕾斯天然胶乳橡胶避孕套（激情装） 杜蕾斯天然胶乳橡胶避孕套（激情装）    3只.,杜蕾斯天然胶乳橡胶避孕套（激情装） ,3只.,480  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
杜蕾斯天然胶乳橡胶避孕套 杜蕾斯天然胶乳橡胶避孕套    12只(凸点螺纹装) .,杜蕾斯天然胶乳橡胶避孕套 ,12只(凸点螺纹装) .,1  盒  ,20162660063 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
G永森堂 鸡眼贴足部冷敷贴 G永森堂 鸡眼贴足部冷敷贴    2cm*7cm*6贴/送刀片,G永森堂 鸡眼贴足部冷敷贴 ,2cm*7cm*6贴/送刀片,600  盒  ,陕延械备20170009号 ,延安万历药业有限公司 ,武汉红运堂药业有限公司,有
广慈雪梨枇杷糖 广慈雪梨枇杷糖    48克,广慈雪梨枇杷糖 ,48克,216  盒  ,SC11344190003544 ,东莞市广慈食品实业有限公司 ,武汉红运堂药业有限公司,有
帮德007天然胶乳橡胶避孕套（时尚颗粒）玫瑰香 帮德007天然胶乳橡胶避孕套（时尚颗粒）玫瑰香    10只,帮德007天然胶乳橡胶避孕套（时尚颗粒）玫瑰香 ,10只,1  盒  ,计生用品 ,湛江市汇通药业有限公司 ,武汉锦俊凯贸易发展有限公司,有
帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香 帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香    10只,帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香 ,10只,1  盒  , ,湛江市汇通药业有限公司 ,武汉锦俊凯贸易发展有限公司,有
蜜炼胖大海清润糖 蜜炼胖大海清润糖    36克,蜜炼胖大海清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
皓宇牌维D3钙咀嚼片（中老年型） 皓宇牌维D3钙咀嚼片（中老年型）    120g(2.0g/片*60片),皓宇牌维D3钙咀嚼片（中老年型） ,120g(2.0g/片*60片),1  盒  ,国食健字G20130900 ,江西皓宇生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） 杜蕾斯天然胶乳橡胶避孕套（至尊超薄装）    3只.,杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） ,3只.,1  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,东莞市启信医药有限公司,有
I金诺贝婴 女生红糖 I金诺贝婴 女生红糖    300g,I金诺贝婴 女生红糖 ,300g,1  瓶  ,SC1063 6098 2001 21 ,江西三诚实业有限公司 ,东莞市启信医药有限公司,有
帮德007天然胶乳橡胶避孕套（时尚纤薄）草莓香 帮德007天然胶乳橡胶避孕套（时尚纤薄）草莓香    10只,帮德007天然胶乳橡胶避孕套（时尚纤薄）草莓香 ,10只,1  盒  , ,湛江市汇通药业有限公司 ,广州衍森生物科技有限公司,有
南京同仁堂 板蓝粒凉茶(甘草桔梗固体饮料) 南京同仁堂 板蓝粒凉茶(甘草桔梗固体饮料)    8克*20袋,南京同仁堂 板蓝粒凉茶(甘草桔梗固体饮料) ,8克*20袋,1  包  , ,广东苗方医药科技有限公司 ,广州衍森生物科技有限公司,有
维他命芦荟胶 维 他命芦荟胶    40g,维他命芦荟胶 ,40g,1  盒  ,粤妆201602902 ,广州楚颜化妆品有限公司 ,广州衍森生物科技有限公司,有
无蔗糖高钙蛋白质粉 无蔗糖高钙蛋白质粉    900克,无蔗糖高钙蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,广州衍森生物科技有限公司,有
H tatale卡通动感颗粒 H tatale卡通动感颗粒    10只,H tatale卡通动感颗粒 ,10只,1  盒  , ,茂名市江源乳胶制品有限公司 ,广州衍森生物科技有限公司,有
南京同仁堂 夏桑菊凉茶(夏桑菊固体饮料) 南京同仁堂 夏桑菊凉茶(夏桑菊固体饮料)    8克*20袋,南京同仁堂 夏桑菊凉茶(夏桑菊固体饮料) ,8克*20袋,1  袋  , ,广东苗方医药科技有限公司 ,广州玖铭药业有限公司,有
G棉花朵朵 压敏胶带（棉布型） G棉花朵朵 压敏胶带（棉布型）    2cm*300cm*1卷,G棉花朵朵 压敏胶带（棉布型） ,2cm*300cm*1卷,1  盒  ,鲁青械备20150033号 ,青岛盛久医疗用品有限公司 ,广州玖铭药业有限公司,有
H学圃堂骨质理疗贴 H学圃堂骨质理疗贴    6贴,H学圃堂骨质理疗贴 ,6贴,1  盒  ,晋临械备20170023号 ,山西圣君药业有限公司 ,广州玖铭药业有限公司,有
I冈本 避孕套超润滑透薄 I冈本 避孕套超润滑透薄    3片,I冈本 避孕套超润滑透薄 ,3片,200  盒  ,国械注进20152660392 ,冈本乳胶制品有限公司 ,湖北巨世医药有限公司,有
G南京同仁堂 消炎镇痛冷敷贴 G南京同仁堂 消炎镇痛冷敷贴    6贴装,G南京同仁堂 消炎镇痛冷敷贴 ,6贴装,1  盒  ,晋临械备20160026号 ,临汾百年合纵药业有限公司 ,湛江市弘安药业有限公司,有
G南京同仁堂 颈肩腰腿疼痛冷敷贴 G南京同仁堂 颈肩腰腿疼痛冷敷贴    6贴装,G南京同仁堂 颈肩腰腿疼痛冷敷贴 ,6贴装,1  盒  ,晋临械备20160029号 ,临汾百年合纵药业有限公司 ,湛江市弘安药业有限公司,有
 湿毒清软膏    20g, ,20g,1  盒  ,赣卫消证字（2011）第0034号 ,江西樟都药业有限公司 ,重庆赛力君安医药有限公司,有
杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） 杜蕾斯天然胶乳橡胶避孕套（至尊超薄装）    3只.,杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） ,3只.,480  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
杜蕾斯天然胶乳橡胶避孕套（挚爱装） 杜蕾斯天然胶乳橡胶避孕套（挚爱装）    3只 .,杜蕾斯天然胶乳橡胶避孕套（挚爱装） ,3只 .,480  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
杜蕾斯天然胶乳橡胶避孕套（活力装） 杜蕾斯天然胶乳橡胶避孕套（活力装）    3只 .,杜蕾斯天然胶乳橡胶避孕套（活力装） ,3只 .,480  盒  ,鲁食药监械(准) 字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
广慈胖大海枇杷糖 广慈胖大海枇杷糖    48克,广慈胖大海枇杷糖 ,48克,216  盒  ,SC11344190003544 ,东莞市广慈食品实业有限公司 ,武汉红运堂药业有限公司,有
广慈 多维果蔬软糖（混合味） 广慈 多维果蔬软糖（混合味）    128克,广慈 多维果蔬软糖（混合味） ,128克,120  盒  ,SC11344190003544 ,东莞市广慈食品实业有限公司 ,武汉红运堂药业有限公司,有
 开塞露(含甘油)(小儿)(带盖)    10ml, ,10ml,100  盒  , ,湖北康正药业有限公司 ,中泽医药（湖北）有限公司,有
阿胶红枣蛋白质粉 阿胶红枣蛋白质粉    900克,阿胶红枣蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,广州市巨孚达医药有限公司,有
儿童钙铁锌蛋白质粉 儿童钙铁锌蛋白质粉    900克,儿童钙铁锌蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
皓宇牌维D3钙咀嚼片（儿童型） 皓宇牌维D3钙咀嚼片（儿童型）    105g(1.75g/片*60片),皓宇牌维D3钙咀嚼片（儿童型） ,105g(1.75g/片*60片),1  盒  ,国食健字G20130899 ,江西皓宇生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
富硒蛋白质粉 富硒蛋白质粉    900克,富硒蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
阿胶红枣蛋白质粉 阿胶红枣蛋白质粉    900克,阿胶红枣蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
H金诺贝婴 奶伴侣葡萄糖 H金诺贝婴 奶伴侣葡萄糖    580g,H金诺贝婴 奶伴侣葡萄糖 ,580g,1  瓶  ,SC1063 6098 2001 21 ,江西三诚实业有限公司 ,东莞市启信医药有限公司,有
H金诺贝婴 清伙宝葡萄糖 H金诺贝婴 清伙宝葡萄糖    580g,H金诺贝婴 清伙宝葡萄糖 ,580g,1  瓶  ,SC1063 6098 2001 21 ,江西三诚实业有限公司 ,东莞市启信医药有限公司,有
G樟都 晕车贴 G樟都 晕车贴    4贴,G樟都 晕车贴 ,4贴,200  盒  ,Q/JZD001-2017 ,江西樟都药业有限公司 ,湖北巨世医药有限公司,有
I慢严舒柠 好爽润喉糖（草莓味） I慢严舒柠 好爽润喉糖（草莓味）    24g（9粒）,I慢严舒柠 好爽润喉糖（草莓味） ,24g（9粒）,300  盒  , ,桂龙药业（安徽）有限公司 ,武汉益世药业有限责任公司,有
小儿止咳贴 小儿止咳贴    4贴/盒,小儿止咳贴 ,4贴/盒,1  盒  ,晋临械备20160006号 ,临汾市三九合纵药业有限公司 ,广州衍森生物科技有限公司,有
帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香 帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香    10只,帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香 ,10只,1  盒  , ,湛江市汇通药业有限公司 ,广州衍森生物科技有限公司,有
I冈本 避孕套超润滑透薄 I冈本 避孕套超润滑透薄    3片,I冈本 避孕套超润滑透薄 ,3片,1  盒  ,国械注进20152660392 ,冈本乳胶制品有限公司 ,广州衍森生物科技有限公司,有
回乃宝（山楂麦芽茯苓代用茶） 回乃宝（山楂麦芽茯苓代用茶）    3g*20袋,回乃宝（山楂麦芽茯苓代用茶） ,3g*20袋,1  盒  ,SC11344128400921 ,肇庆仁修堂医药有限公司 ,广州衍森生物科技有限公司,有
G南京同仁堂 金银花凉茶（金银花固体饮料） G南京同仁堂 金银花凉茶（金银花固体饮料）    8克*20袋,G南京同仁堂 金银花凉茶（金银花固体饮料） ,8克*20袋,1  盒  , ,广东苗方医药科技有限公司 ,广州衍森生物科技有限公司,有
艾草湿痒抑菌乳膏 艾草湿痒抑菌乳膏    18g/支,艾草湿痒抑菌乳膏 ,18g/支,1  盒  ,鄂卫消证字（2015）第0023号 ,武汉博瑞锦诚医药科技有限公司 ,广州衍森生物科技有限公司,有
H tatale卡通隐形超薄 H tatale卡通隐形超薄    10只,H tatale卡通隐形超薄 ,10只,1  盒  , ,茂名市江源乳胶制品有限公司 ,广州衍森生物科技有限公司,有
儿童钙铁锌蛋白质粉 儿童钙铁锌蛋白质粉    900克,儿童钙铁锌蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,广州衍森生物科技有限公司,有
G南京同仁堂 金银花凉茶（金银花固体饮料） G南京同仁堂 金银花凉茶（金银花固体饮料）    8克*20袋,G南京同仁堂 金银花凉茶（金银花固体饮料） ,8克*20袋,1  盒  , ,广东苗方医药科技有限公司 ,广州玖铭药业有限公司,有
G棉花朵朵 医用外科口罩10只装 G棉花朵朵 医用外科口罩10只装    10只,G棉花朵朵 医用外科口罩10只装 ,10只,1  包  ,鲁械注准20152640383 ,青岛盛久医疗用品有限公司 ,广州玖铭药业有限公司,有
G棉花朵朵 无菌敷贴(10*10） G棉花朵朵 无菌敷贴(10*10）    10cm*10cm,G棉花朵朵 无菌敷贴(10*10） ,10cm*10cm,1  盒  ,鲁械注准20172640264 ,青岛盛久医疗用品有限公司 ,广州玖铭药业有限公司,有
HI海氏海诺 无菌敷贴 HI海氏海诺 无菌敷贴    10*10CM,HI海氏海诺 无菌敷贴 ,10*10CM,1600  盒  ,鲁械注准20142640041 ,青岛市海诺生物工程有限公司 ,岳阳康尔医药有限公司,无
三诚牌叶酸钙咀嚼片（孕妇乳母型） 三诚牌叶酸钙咀嚼片（孕妇乳母型）    2.0g/片*60片,三诚牌叶酸钙咀嚼片（孕妇乳母型） ,2.0g/片*60片,1  盒  ,国食健字G20160151 ,江西三诚实业有限公司 ,成都拜欧药业股份有限公司,有
H学圃堂通络止痛贴（Ⅲ颈椎病） H学圃堂通络止痛贴（Ⅲ颈椎病）    6贴,H学圃堂通络止痛贴（Ⅲ颈椎病） ,6贴,1  盒  ,晋临械备20170015号 ,山西圣君药业有限公司 ,广州玖铭药业有限公司,有
帮德007天然胶乳橡胶避孕套（零感纤薄）经典装香草香 帮德007天然胶乳橡胶避孕套（零感纤薄）经典装香草香    12只,帮德007天然胶乳橡胶避孕套（零感纤薄）经典装香草香 ,12只,288  盒  , ,湛江市汇通药业有限公司 ,江苏全佳康医药有限公司,有
G南京同仁堂 骨质增生冷敷贴 G南京同仁堂 骨质增生冷敷贴    6贴装,G南京同仁堂 骨质增生冷敷贴 ,6贴装,1  盒  ,晋临械备20160031号 ,临汾百年合纵药业有限公司 ,湛江市弘安药业有限公司,有
G南京同仁堂 风湿关节冷敷贴 G南京同仁堂 风湿关节冷敷贴    6贴装,G南京同仁堂 风湿关节冷敷贴 ,6贴装,1  盒  ,晋临械备20160033号 ,临汾百年合纵药业有限公司 ,湛江市弘安药业有限公司,有
G南京同仁堂 跌打扭伤冷敷贴 G南京同仁堂 跌打扭伤冷敷贴    6贴装,G南京同仁堂 跌打扭伤冷敷贴 ,6贴装,1  盒  ,晋临械备20160036号 ,临汾百年合纵药业有限公司 ,湛江市弘安药业有限公司,有
邦成牌钙锌咀嚼片（哈蜜瓜味） 邦成牌钙锌咀嚼片（哈蜜瓜味）    1.8g/片*60片,邦成牌钙锌咀嚼片（哈蜜瓜味） ,1.8g/片*60片,120  盒  ,国食健字G20150225 ,江西樟邦药业有限公司 ,广东华源诺希医药股份有限公司,有
神农百草膏 神农百草膏    30g .,神农百草膏 ,30g .,300  盒  ,闽卫消证字（2005）第032号 ,福州绿野生化技术有限公司 ,成都拜欧药业股份有限公司,有
杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） 杜蕾斯天然胶乳橡胶避孕套（至尊超薄装）    8只。,杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） ,8只。,120  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
杜蕾斯天然胶乳橡胶避孕套（热感超薄装） 杜蕾斯天然胶乳橡胶避孕套（热感超薄装）    12只.,杜蕾斯天然胶乳橡胶避孕套（热感超薄装） ,12只.,120  盒  ,鲁械注准20162660063 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
杜蕾斯天然胶乳橡胶避孕套（LOVE装） 杜蕾斯天然胶乳橡胶避孕套（LOVE装）    3只.,杜蕾斯天然胶乳橡胶避孕套（LOVE装） ,3只.,480  盒  ,20162660063 ,青岛伦敦杜蕾斯有限公司 ,成都拜欧药业股份有限公司,有
广慈枇杷糖（超凉薄荷味） 广慈枇杷糖（超凉薄荷味）    48克,广慈枇杷糖（超凉薄荷味） ,48克,216  盒  ,SC11344190003544 ,东莞市广慈食品实业有限公司 ,武汉红运堂药业有限公司,有
广慈枇杷糖（金桔柠檬味） 广慈枇杷糖（金桔柠檬味）    48克,广慈枇杷糖（金桔柠檬味） ,48克,216  盒  ,SC11344190003544 ,东莞市广慈食品实业有限公司 ,武汉红运堂药业有限公司,有
帮德007天然胶乳橡胶避孕套（时尚纤薄）草莓香 帮德007天然胶乳橡胶避孕套（时尚纤薄）草莓香    10只,帮德007天然胶乳橡胶避孕套（时尚纤薄）草莓香 ,10只,1  盒  , ,湛江市汇通药业有限公司 ,武汉锦俊凯贸易发展有限公司,有
杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） 杜蕾斯天然胶乳橡胶避孕套（至尊超薄装）    3只.,杜蕾斯天然胶乳橡胶避孕套（至尊超薄装） ,3只.,1  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,武汉锦俊凯贸易发展有限公司,有
蜜炼枇杷清润糖 蜜炼枇杷清润糖    36克,蜜炼枇杷清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,广州市巨孚达医药有限公司,有
全营养蛋白质粉 全营养蛋白质粉    900克,全营养蛋白质粉 ,900克,1  罐  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
I金诺贝婴 钙铁锌葡萄糖 I金诺贝婴 钙铁锌葡萄糖    580g,I金诺贝婴 钙铁锌葡萄糖 ,580g,1  瓶  ,SC1063 6098 2001 21 ,江西三诚实业有限公司 ,东莞市启信医药有限公司,有
银尔洁 活性银离子抗菌液 银尔洁 活性银离子抗菌液    200ml,银尔洁 活性银离子抗菌液 ,200ml,1  盒  , ,西安亮剑科技有限公司 ,东莞市启信医药有限公司,有
双黄连芦荟抑菌洗液 双 黄连芦荟抑菌洗液    200ml,双黄连芦荟抑菌洗液 ,200ml,1  盒  ,鄂卫消证字（2015）第0023号 ,武汉博瑞锦诚医药科技有限公司 ,惠州市信合惠通实业有限公司,有
皓宇牌维D3钙咀嚼片（中老年型） 皓宇牌维D3钙咀嚼片（中老年型）    120g(2.0g/片*60片),皓宇牌维D3钙咀嚼片（中老年型） ,120g(2.0g/片*60片),1  盒  ,国食健字G20130900 ,江西皓宇生物科技有限公司 ,惠州市信合惠通实业有限公司,有
皓宇牌维D3钙咀嚼片（儿童型） 皓宇牌维D3钙咀嚼片（儿童型）    105g(1.75g/片*60片),皓宇牌维D3钙咀嚼片（儿童型） ,105g(1.75g/片*60片),96  盒  ,国食健字G20130899 ,江西皓宇生物科技有限公司 ,惠州市信合惠通实业有限公司,有
G南京同仁4贴装堂 退热贴（小儿护脑型 ） G南京同仁堂 退热贴（小儿护脑型 ）    4贴装,G南京同仁4贴装堂 退热贴（小儿护脑型 ） ,4贴装,1  盒  ,晋临20160004号 ,临汾市三九合纵药业有限公司 ,广州衍森生物科技有限公司,有
易香狐臭香露 易香狐臭香露    40ml,易香狐臭香露 ,40ml,1  盒  ,国妆特字G20151733 ,肇庆苗和堂医药有限公司 ,广州衍森生物科技有限公司,有
皓宇牌维D3钙咀嚼片（儿童型） 皓宇牌维D3钙咀嚼片（儿童型）    105g(1.75g/片*60片),皓宇牌维D3钙咀嚼片（儿童型） ,105g(1.75g/片*60片),1  盒  ,国食健字G20130899 ,江西皓宇生物科技有限公司 ,广州衍森生物科技有限公司,有
中老年营养蛋白质粉（无蔗糖） 中老年营养蛋白质粉（无蔗糖）    900克,中老年营养蛋白质粉（无蔗糖） ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,广州市巨孚达医药有限公司,有
南京同仁堂 板蓝粒凉茶(甘草桔梗固体饮料) 南京同仁堂 板蓝粒凉茶(甘草桔梗固体饮料)    8克*20袋,南京同仁堂 板蓝粒凉茶(甘草桔梗固体饮料) ,8克*20袋,1  包  , ,广东苗方医药科技有限公司 ,广州玖铭药业有限公司,有
H今之韵 早早孕快速检测试纸（板型） H今之韵 早早孕快速检测试纸（板型）    1人份/盒,H今之韵 早早孕快速检测试纸（板型） ,1人份/盒,1  盒  ,京械注准20172400519 ,北京金华科生物技术有限公司 ,湛江市弘安药业有限公司,有
